id,FalseSent,OptionA,OptionB,OptionC
1734,I love my girlfriend and I want to break up with her,the girlfriend may have fallen in love with others already,people don't want to break up with their lovers,some people have no lovers for the whole lifetime
1735,humans can be identified by their unique names,different people may have the same names,a person's name should be included in his self-introduction,other people will remember your name but forget other information easily
1736,it has been rainy for a long time and the river dried up,the rain will bring water to the river,drought is a type of extreme weather,the rain is expected in dry places
1737,I attended a classical concert to enjoy the paintings,the concert is a music activity,both music and painting are forms of art,classical music can remind me of classical paintings
1738,music is a form of artist,both artists and music are great,music has its own charm compared with other art forms,artists are humans
1739,a plastic stove is a heat source,plastic has been used in every corner in our life,plastic can't burn,stove is not a modern heat source
1740,"where knowledge begins, science ends",knowledge has begun in everyone,science has made great contributions to all mankind,knowledge promotes the development of science
1741,many animals eat air but humans don't,air can't provide energy,human beings are also a kind of animals,all animals can't live without air
1742,I need to bring my kitchenware when I go to the restaurant,I don't need to cook in the restaurant,nobody can prepare food without kitchenware,I can have free dinner if I cook dinner myself in the restaurant
1743,I am so unlucky to find my true love,everyone can find his true love,finding true love is a very lucky thing,some people don't care if they can find their true love
1744,the sun rises sometimes in China,the sun shines on China every day,sometimes we can't see the sun the whole day,the sun will disappear in the far future
