id,FalseSent,OptionA,OptionB,OptionC
8517,Fighting is a good behavior.,Fighting can cause psychological and physical harm to others.,Fighting cannot solve problems under most conditions.,Children should be properly taught what behaviors are good.
8518,Raw water can be drunk.,We can boil the raw water before we drink it.,Drinking more water is good for your health.,Raw water contains bacteria so it cannot be drunk.
8519,The moon appears in the daytime.,The Moon itself will not shine.,The sun emits light and heat in the daytime.,The moon appears at night.
8520,Chicken is a kind of fruit.,"Chicken is a kind of poultry, not fruit.",Eating more fruit is good for your health.,Some people prefer chicken salad to fruit salad.
8521,Wind can easily blow the house up.,A bomb can blow up the house easily.,The house is usually too heavy to be blown up by wind.,The gentle wind is refreshing.
8522,They caught a fish in the forest.,There are many kinds of animals in the forest.,Catching a fish with bare hands is not an easy thing.,There are no fish in the forest.
8523,All the grass is inedible.,Sheep graze on the grasslands.,Some grass can be eaten as a vegetable.,All the glass is inedible.
8524,The street lamp comes on when it is bright,There is no need for street lamps when it is bright,Every city has street lamps on its roads,Street lights in many cities are automatically switched on and off
8525,He is a farmer and good at cultivating students,A farmer usually sow in spring and harvest in winter,Students need to be cultivated with patience and love,"It is a farmer's job to cultivate crops, not students"
8526,They went camping and lived in five-star hotels.,Camping is a fun thing to do with friends.,Living in a five-star hotel can cost a lot.,"The meaning of camping is to live in tents, not hotels."
8527,We go to the restaurant to see a doctor.,Older people need to see a doctor more often.,The doctor's duty is to cure diseases and save people.,Restaurants are places to eat.
8528,The sun rises in the west.,The sun rises in the east.,The sun is far away from us.,The earth revolves around the sun.
8529,Eating more sugar regularly is good for your teeth.,We should take good care of our teeth.,Kids usually love eating candies which contain a lot of sugar.,Eating more sugar can cause tooth decay.
8530,Playing more computer games can improve academic performance.,Playing more computer games will decrease your academic performance.,Some computer games require knowledge and thinking.,Academic performance is related to how much effort you make
8531,Drinking coffee helps children grow taller,Some people rely on drinking coffee to stay awake in the morning,Coffee doesn't contain the nutrients that make you grow taller,Children grow taller pretty fast as their ages increase
8532,People can change their destinies by seeking pleasure.,Greed for pleasure ruins one's destiny.,Your destiny is in your own hands.,People have the nature to seek pleasure.
8533,Teachers like dishonest children.,Children should be taught to be honest and trustworthy.,Teachers like students who listen to their instructions.,Dishonesty is a bad quality that nobody likes.
8534,We can make a lot of noise in the library.,There are a lot of books in the library.,Noise is not allowed in the library.,We can't make a cake in the library.
8535,We can smoke in public.,Smoking in public is prohibited.,We should be quiet in public.,Smoking can cause diseases.
8536,Children can receive knowledge only from their teachers.,Children's curiosity promotes their acquisition of knowledge.,Children are taught to listen to their teachers' instructions.,Teachers are not the only source where children can receive knowledge.
8537,Bats go out to hunt during the day.,Bats live in dark caves.,Bats sleep during the day.,A lot of animals hunt during the day.
8538,I can play badminton alone.,Badminton is a sport that requires two talents.,Some people enjoy doing things alone.,Playing badminton requires physical coordination.
8539,There is plenty of water in a desert,Water in the sea differs from that in the river.,Desert is a place extremely lack of water.,We can't count how much sand there is in the desert.
8540,All Koreans like pickles.,"Generally, Korean people are polite and friendly.",Korea people make pickles at home.,There may be some Koreans who don't like pickles.
8541,He called me and his phone rang.,The phone being called will ring,We shouldn't let our phones ring when we are at a meeting,It is the function of a phone to call someone else.
8542,We don't need to wash our hands after going to the toilet.,Washing hands frequently is a good habit.,Children should be taught how to go to the toilet.,It is unsanitary not to wash hands after going to the toilet.
